album,track,lyrics
BB/ANG3L,Treason,"Drivin' with no headlights
I'm runnin' every red light, yeah
Headed down a one-way the wrong way
Ain't nobody scared out here
I already know how it ends
I already feel those regrets
I don't even know when you snuck in
I just heard you come up the steps
If I'm bein' honest, I'm lyin'
If they see the truth, I'll deny it
I don't need no help on my end
Voices in my head goin' silent
Must be tragedy I desire
As I'm headed straight towards the fire
If I still got an angel on my side
I ain't tryna take no advice, I
Know it's dark, I've seen it in the light
Knew I couldn't fight it, but I tried
Hate myself for treason
I don't need a reason
I just wanna be with you tonight
Fuck it all, I put it on the line
Knew I couldn't fight it, but I tried
Hate myself for treason
I don't need a reason
I just wanna be with you tonight
It's detrimental to me, but I'd rather you here by my side
I'd rather you spend the night
Don't even got a key, but you would still find your way back inside
Still find your way
Lovin' you is suicidal
So unhealthy, where my mind go?
Guess I needed the reminder
Saw you clearly, but I'm blinded (Oh)
Scary movie, I rewind it
Runnin' back a hundred times
Delete the footage 'fore they find it
Wouldn't wanna leak it online, I
Know it's dark, I seen it in the light
Knew I couldn't fight it, but I tried
Hate myself for treason
I don't need a reason
I just wanna be with you tonight, oh
Yeah, yeah, yeah
I don't need a reason, oh
Yeah, yeah, yeah"
BB/ANG3L,Talk To Me Nice,"Mix up my days, got me in a daze
Stuck in a phase, so talk to me nice
Come get me laid, sing me lullabies, yeah
Come drive me craze 'fore I catch a flight
Mix up my days, got me in a daze (spades on ice)
Stuck in a phase, so talk to me nice (talk to me nice)
Come get me laid, sing me lullabies (you know what I like)
Come drive me craze 'fore I catch a flight
Talk to me nice, I don't wanna fight
Don't pick me up, I'll drive
Dinner res' at The Nice Guy
Let's make it right, put pride to the side
I don't wanna wait all life for the right time, I know
You got options, I got options
Want you, but don't need you
Tease you, but I please you
Hoes talk gossip, we got options
Treat you like I need you, but you know you what I want
Mix up my days, got me in a daze
Stuck in a phase, so talk to me nice
Come get me laid, sing me lullabies, yeah
Come drive me craze 'fore I catch a flight
Mix up my days, got me in a daze (spades on ice)
Stuck in a phase, so talk to me nice (talk to me nice)
Come get me laid, sing me lullabies (you know what I like)
Come drive me craze 'fore I catch a flight
♪
This a feeling money can't buy
Couldn't be fake if I tried
Loyalty, what the money can't buy
You only get one chance, only one try
I give you feelings money can't buy
Couldn't be fake if I tried
Loyalty what the money can't buy
You only get one chance, only one try
Try to find better, ain't none if you noticed
Better when we keep our secrets in the open
Ride for ya, I done kept the whole thing in motion
Ride on ya, when we getting high, we the closest
High-end, private charter to an island
Real good sex to break the silence
Same team shooting, take the score
Do me a solid, keep it solid
Don't lie 'less you lie beside me
Keep our plans in private, their opinions don't mean a thing
This a feeling money can't buy
Couldn't be fake if I tried
Loyalty what the money can't buy
You only get one chance, only one try
I give you feelings money can't buy
Couldn't be fake if I tried
Loyalty what the money can't buy
You only get one chance, only one try
Spades on ice
Talk to me nice
You know what I like
You got options, I got options
Want you, but don't need you
Tease you, but I please you
Hoes talk gossip, we got options
Treat you like I need you, but you know you what I want"
BB/ANG3L,Needs,"(Ayy, Royce, you did it right here)
Hands on my knees
They ain't never seen moves like these (mm-mm)
Nice and clean
A1 body, but I talk real mean (so mean)
He's simpin'
Said, ""Lord, please, forgive me"", oh
Said, ""I don't like beggin', but I'm on my knees""
(Na-na-na, na-na-na) don't be a tease
(Na-na-na, na-na-na) grab them keys
After party in between the sheets
Top floor shawty in a penthouse suite
(Na-na-na, na-na-na) I make ya say, ""Please""
(Na-na-na, na-na-na) ""Please""
I'm not easy, but I'm feenin'
I'm just human, we all got needs
Open 24 hours, there's no shirt or shoes required
Eat your heart out (yeah), my body is a buffet
Eat my pussy, boy, don't call me
I can't be ya one and only, not today
Tell that girl that I got my bands up yeah (na-na-na, na-na-na)
Heard she a fan, yeah (na-na-na, na-na-na)
Come and get your man, uh, yeah (na-na-na, na-na-na)
Damn, I can't stand ya
Way we been at it, I can't stand up (stand up), yeah
Had a bonanza, yeah
Peaches, bananas
And now you want me all to yourself
You just can't help it when my
Hands on my knees
They ain't never seen moves like these (mm-mm)
Nice and clean
A1 body, but I talk real mean (so mean)
He's simpin'
Said, ""Lord, please, forgive me"", oh
Said, ""I don't like beggin', but I'm on my knees""
(Na-na-na, na-na-na) don't be a tease
(Na-na-na, na-na-na) grab them keys
After party in between the sheets
Top floor shawty in a penthouse suite
(Na-na-na, na-na-na) I make ya say, ""Please""
(Na-na-na, na-na-na) ""Please""
I'm not easy, but I'm feenin'
I'm just human, we all got needs
Na-na-na, na-na-na
Na-na-na, na-na-na (oh)
I'm just human, we all got needs
Na-na-na, na-na-na
Na-na-na, na-na-na (oh)"
BB/ANG3L,Uh Huh,"Uh-huh
Are you up? Are you down?
Uh-huh, uh-huh
Do you want me right now?
Uh-huh, uh-huh
Uh-huh, uh-huh
Uh-huh (Uh-huh), uh-huh (Uh-huh)
Uh-huh, uh-huh
Uh-huh (Uh-huh), uh-huh (Uh-huh)
Uh-huh
How do you see me underneath it all?
How?
When you're lookin' at me, somehow I feel exposed
And I never expected this is how it would go
It was just for the plot, but baby, I'm back for more (Back for more)
And when my ex nigga try callin' me back, it's over
'Cause this is what I have been waitin' for
Uh-huh
Are you up? Are you down?
Uh-huh, uh-huh
Do you want me right now?
Uh-huh, uh-huh
Uh-huh, uh-huh
Uh-huh (Uh-huh), uh-huh (Uh-huh)
Uh-huh, uh-huh
Uh-huh (Uh-huh), uh-huh (Uh-huh)
Don't you second-guess it
I won't play with your mind
Ain't nothing I would ever hide (I would ever hide)
We're locked in (Locked in)
When I say I ride, I ride (Oh)
Ain't no way I would never slide (Baby, let me slide)
Baby, let me slide
Are you up? Are you down?
Uh-huh, uh-huh
Do you want me right now?
Uh-huh, uh-huh
Uh-huh, uh-huh
Uh-huh (Uh-huh), uh-huh (Uh-huh)
Uh-huh, uh-huh
Uh-huh (Uh-huh), uh-huh (Uh-huh)"
BB/ANG3L,Gravity,"First things first, I hope you rollin' up

When we get faded I, I can open up

I've been drownin' in my dreams again

Fooled me once, can't fool me twice

But it'd be nice

I can't decide if I should trust my heart or trust my eyes

It's a fight, I know my worth and we're on a ride

But I'd be satisfied with who you are inside (Who you are inside)

So stay here tonight

Keep fallin' into me (Ah)

And I'll keep fallin' into you (Ah)

When I feel spaces we could fill (Ah)

Gravity pulls me down back to you

Hang it up, clothes line

I don't need a cosign

I believe in soul ties

We been here the whole time

And fightin' with my heart and my head over you is a battle, but I'm so tired

What am I to do when I knew I could take 101 to The Westside? (Ooh, oh)

The room is gettin' bright

The things I've been ignorin' are all comin' to the light

You could slide, slide

Stick side by

That's my guy

See it, wide eyes, wide eyes

Keep fallin' into me (Ah)

And I'll keep fallin' into you (Ah)

When I feel spaces we could fill (Ah)

Gravity pulls me down back to you

Mm

No

Ooh

Ooh

Pullin' me, pullin' me (No)

Pullin' me, pullin' me (No)

Back to you, back to you

Pullin' me, pullin' me (No)

Pullin' me, pullin' me (No)

I think I'm fallin'

Pullin' me, pullin' me (No, no)

Pullin' me, pullin' me (No, no)

I think I'm fallin'

Pullin' me, pullin' me (No)

Pullin' me, pullin' me (No)

I think I'm fallin'

"
BB/ANG3L,None of my business,"Mmh

Goddamn, run it back

All you do is tell me lies

I can't even really be surprised anymore

Poison drippin' off your tongue

Poison me with all the things that you've done

Now I gotta pay the price

Can't even look me in my eyes

Ain't good for me, it's a drug

Ain't good for me, but I'm dying for some

And so I said, ""We can't keep meeting like this""

I can't decide if this is wrong or it's right

I guess if there's someone else, that's none of my business

'Cause once I'm down for you, I'm ridin' for life

Damn, now you're gettin' in my head (Oh)

Still got me thinkin' 'bout the things that you said

Poison drippin' off your tongue (Tongue)

Got me trippin', now I'm back in your bed

Still ain't ever let me go

And I hate that I'm loving it the most

Ain't good for me, it's a drug

Ain't good for me, but I'm dying for some

And so I said ""we can't keep meeting like this"" (No-oh)

I can't decide if this is wrong or it's right

I guess if there's someone else, that's none of my business (None, none)

'Cause if I'm down for you I'm riding for life (For life)

What you do is criminal

Got me hooked on acetone (Poison drippin' off your-)

Tried to quit you yesterday

Poison in my blood and veins

I know I deserve much more

Can't see myself gettin' sober (Poison drippin' off your tongue)

Now I'm goin' through withdraws (Poison drippin' off your-, poison drippin' off your-)

And so I said, ""We can't keep meeting like this"" (Meetin' like this)

I can't decide if this is wrong or it's right (Wrong or it's right)

I guess if there's someone else, that's none of my business

'Cause once I'm down for you, I'm ridin' for life"
BB/ANG3L,Tightrope,"Shot, shot, shot, shot, shot, shot, shot, shot, shot, shot, shot

Shot, shot, shot, shot, shot, shot, shot, shot, shot, shot, shot

Hope it plays out my way in a different timeline

I would recognize that feeling any lifetime

Don't want no parts of it when I'm in my right mind

My right mind, not in my right mind

You and I been playing petty, little love games

Got me twisted up and mixed up in my old ways

Barely recognize myself, I'm so ashamed

Ashamed

And my mind instantly begins to picture

All the different places that you've kissed her

And my pride is screamin', ""Get yourself together

You know everything has happened for the better""

There's way more fish in the sea, I already know that

But when my loyalty kick in, I can't control that

And I been healin' myself, I'm goin' in cycles

I'm so unstable, I'm balancin' on a tightrope

Yeah, yeah

Uh-huh, uh-huh

Need an escape route (Uh-huh, uh-huh)

Ooh, before I hit the ground

No, ooh-ooh (Uh-huh, uh-huh)

No, ooh-ooh (Uh-huh, uh-huh)

No, ooh-ooh (Uh-huh, uh-huh)

No, ooh-ooh (Uh-huh, uh-huh)

Don't look down

Don't look down

I remember back before we were so toxic

Summer nights in L.A. make me feel nostalgic

Driving through the hills until we all got carsick

Oh, oh, oh

I'm still waitin' for day I come across you

I'll be so unbothered like I never blocked you

But now I'm speeding in my Tesla on the freeway

Got a song about you, listening on replay

No, ooh-ooh

No, ooh-ooh

Baby, don't go

No, ooh-ooh

Noo, ooh-ooh

There's way more fish in the sea, I already know that

But when my loyalty kick in, I can't control that

And I been healing myself, I'm goin' in cycles

I'm so unstable, I'm balancing on a tightrope

Yeah, yeah

Uh-huh, uh-huh

Need an escape route (Uh-huh, uh-huh)

Ooh, before I hit the ground

No, ooh-ooh (Uh-huh, uh-huh)

No, ooh-ooh (Uh-huh, uh-huh)

No, ooh-ooh (Uh-huh, uh-huh)

No, ooh-ooh (Uh-huh, uh-huh)

Don't look down

Don't look down

Shot, shot, shot, shot, shot, shot, shot, shot, shot, shot, shot

Shot, shot, shot, shot, shot, shot, shot, shot, shot, shot, shot"
333,Let Go,"Waiting on somebody else to save me

I hurt myself with foolish pride


The weight of the world I carry

But I eventually... I do decide

When I let go


Then I let go


And I went back home

I am no longer mad at you baby

Such a nice day to come outside

Rich from the attention you paid me

And now I see... It'll be alright

When I let go

Then I let go

And I went back home"
333,I can see the future,"Got a smart mouth for you dum-dums

He say he tired of these bitches now he want one

Kitty in your mouth got your tongue tongue

You know I'm one of a kind, got that one of one

He said I don't play 'bout what's mine

Im not a psychic, I can't read your mind

If you with it don't waste my time

If you with it don't waste my time

You in love with it, never done with it

Finger in your face telling you to come get it

Its levels to a bad bitch, you gotta come different

You used to the same so I gotta show I'm different

Anything you want you can say and I'm with it

You know I got that yummy yummy yummy come lick it

You know you in love with it, never done with it

Finger in your face telling you to come get it

I can see the future

I can see the future

And it looks like you and I

And it looks like you and I, oh

I can see the future (oh I, Oh I)

I can see the future (oh I, Oh I, uh)

And it feels like paradise

And it feels like paradise, oh

They be all up on me, ignore em they all spam

Face is picture perfect, the body is on 10

I don't argue with these bitches, they petty, they all fans

I got drip from next season, exclusive or custom

It's a cold world, I'm smothered in Monclair

What you see in me its not her and its not fair

I got money like the boys I pull up, they all stare

They like ""who that slim baddie with all of that long hair?""

He said I don't play 'bout what's mine

Im not a psychic, I can't read your mind

If you with it don't waste my time

If you with it don't waste my time

You in love with it, never done with it

Finger in your face telling you to come get it

Its levels to a bad bitch, you gotta come different

You used to the same so I gotta show I'm different

I can see the future

I can see the future

And it looks like you and I

And it looks like you and I, oh

I can see the future (oh I, Oh I)

I can see the future (oh I, Oh I, uh)

And it feels like paradise

And it feels like paradise, oh

Damn, get ready for love, get ready for me

I made up my mind, I want you to myself

Get ready for love, get ready for me

I'll make it worthwhile

I can see the future

I can see the future

And it looks like you and I

And it looks like you and I, oh

(Oh I, Oh I)

(Oh I, Oh I, uh)

And it feels like paradise

And it feels like paradise, oh"
333,X,"X marks the spot now can you find it?

Turnt up, you wanna get behind it

I wanna feel your body it's on fire

You let me do the talking, baby quiet

Oh ohhh oh

Oh ohhh oh

X marks the spot now can you find it?

I wanna feel your body it's on fire, yeah

Big, big deal big

Big wheels ooh,

Pop seals

Can I call it man of steel ooh

Can I feel, can I taste, can I chill mm

Take a lil sip, ooh

Bad bitch, she look fine, she does it

Savage, you don't mind, you love it

Center stage, she go live, don't touch it

Come and play for the night

You love that shit

X marks the spot now can you find it?

Turnt up, you wanna get behind it

I wanna feel your body it's on fire

You let me do the talking, baby quiet

Oh ohhh oh

Oh ohhh oh

X marks the spot now can you find it?

I wanna feel your body it's on fire, yeah

I plead the fifth when we

Pour up the goose

Gimme the loot

Lil booty on the loose

Legs in the sky hit the stars in the roof

Yeah yeah yeah yeah

Running like a leak

Dont drip it on my mink, eh

Climb over this sheet

Sit it on top, hit it like beep beep, eyyy

Huh, swear that pussy make me spend my checks

Tight pussy make me switch up on the set

You're a trophy girl I'll grab me(Grammy) that

(I would) Fuck your G spot, tryna find your X

X marks the spot now can you find it?

Turnt up, you wanna get behind it

I wanna feel your body it's on fire

You let me do the talking, baby quiet

Oh ohhh oh

Oh ohhh oh

X marks the spot now can you find it?

I wanna feel your body it's on fire, yeah"
